127.0.0.1 - - [23/Dec/2022:12:43:09 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/ HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/css/fontawesome.css HTTP/1.1" 200 116329
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194687
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/css/animate.css HTTP/1.1" 200 58595
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/css/owl.css HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/css/logoscope-master.css HTTP/1.1" 200 31674
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/images/id%2099.png HTTP/1.1" 200 172957
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/images/logo.png HTTP/1.1" 200 9164
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/images/id%2034.png HTTP/1.1" 200 40034
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/images/id%20118.png HTTP/1.1" 200 88028
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/images/id%2085.png HTTP/1.1" 200 46890
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:31 +0530] "GET /logoscope/assets/images/profile.jpg HTTP/1.1" 200 36309
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:35 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:35 +0530] "GET /logoscope/login.jsp HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:35 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:43:42 +0530] "POST /logoscope/LoginServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:44:01 +0530] "POST /logoscope/LoginServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:47:09 +0530] "GET /logoscope/ HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:47:14 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:47:14 +0530] "GET /logoscope/login.jsp HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:47:14 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:47:24 +0530] "POST /logoscope/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:47:24 +0530] "GET /logoscope/AdminLogin.html HTTP/1.1" 200 4756
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:47:32 +0530] "GET /logoscope/AdminShowImage HTTP/1.1" 200 37796959
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:48:20 +0530] "GET /logoscope/AdminShowImage HTTP/1.1" 200 37796959
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:48:58 +0530] "GET /logoscope/login.jsp HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:48:58 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:03 +0530] "GET /logoscope/AdminShowImage HTTP/1.1" 200 37796959
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:04 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 200 5344
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:19 +0530] "GET /logoscope/LogoutServlet? HTTP/1.1" 200 9312
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:22 +0530] "GET /logoscope/GrabImageServlet?id=118 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:22 +0530] "GET /logoscope/login.jsp HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:22 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:24 +0530] "GET /logoscope/LogoutServlet? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:27 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:33 +0530] "GET /logoscope/index.jsp HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:36 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:36 +0530] "GET /logoscope/login.jsp HTTP/1.1" 200 3294
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:49:36 +0530] "GET /logoscope/slide%20navbar%20style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:00 +0530] "POST /logoscope/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:00 +0530] "GET /logoscope/index.jsp HTTP/1.1" 200 9280
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:02 +0530] "GET /logoscope/GrabUserServlet HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:15 +0530] "GET /logoscope/Alphabets HTTP/1.1" 200 9715823
0:0:0:0:0:0:0:1 - - [23/Dec/2022:12:50:23 +0530] "GET /logoscope/SearchImage.jsp HTTP/1.1" 200 2839
